hotel_name,review_id,value_star,location_star,cleanliness_star,service_star,rooms_star,sleep_quality,star_rating
Four Seasons Hotel Boston,review_118004995,3,,5,5,,5,4
"The Langham, Boston",review_221701551,,,,2,1,4,1
"The Westin Copley Place, Boston",review_17712541,4,4,4,3,4,,4
The Westin Boston Waterfront,review_306489753,,,,4,4,4,4
Hotel Commonwealth,review_175814392,5,5,5,5,5,5,5
"The Westin Copley Place, Boston",review_331913765,,,,,,,4
Hotel Commonwealth,review_213453398,5,5,4,5,4,5,5
Hotel Commonwealth,review_134362738,4,5,5,5,4,4,4
Kimpton Onyx Hotel,review_164011029,3,4,4,4,4,4,4
Hotel Commonwealth,review_304373093,,5,,5,,4,4
Boston Marriott Copley Place,review_127542360,,,,,,,5
"The Ritz-Carlton, Boston",review_211260079,,,,,,,5
Harborside Inn,review_242140362,,5,,4,4,,4
InterContinental Boston,review_140700779,,5,5,4,5,5,4
Hotel Commonwealth,review_3801347,5,,5,5,5,,5
Residence Inn Boston Back Bay/Fenway,review_242106052,5,5,4,4,5,,4
Boston Marriott Copley Place,review_268188178,,,5,5,5,,5
Courtyard Boston Copley Square,review_223527311,,,5,5,,5,5
Hotel Commonwealth,review_3800777,4,,4,4,4,,4
Hotel Commonwealth,review_264817670,,,,5,5,5,5
Loews Boston Hotel,review_187200577,5,5,5,5,5,,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_150274945,5,5,5,5,5,5,5
The Boxer Boston,review_323048828,,,,,,,4
Hilton Boston Back Bay,review_162646542,5,5,4,5,5,5,5
Omni Parker House,review_388292783,,,,,,,5
Hilton Boston Logan Airport,review_117875989,4,,4,4,,4,4
DoubleTree Club by Hilton Hotel Boston Bayside,review_182035799,4,2,5,4,4,,5
Residence Inn Boston Back Bay/Fenway,review_269397973,5,5,4,4,4,4,5
InterContinental Boston,review_262680252,,4,,2,4,,3
Copley Square Hotel,review_154620361,2,4,3,3,2,2,2
Hilton Boston Downtown / Faneuil Hall,review_142352202,1,4,4,1,2,2,1
Eliot Hotel,review_120479036,4,5,5,4,4,5,4
The Verb Hotel,review_414577529,,,,,,,5
Residence Inn Boston Harbor on Tudor Wharf,review_422204722,3,,,4,,4,4
Hotel 140,review_380249484,5,5,5,5,5,5,5
Taj Boston,review_317885863,,5,4,5,,,5
Club Quarters Hotel in Boston,review_144802391,5,5,5,5,5,5,5
The Inn At St Botolph,review_33733842,,,,,,,5
Renaissance Boston Waterfront Hotel,review_126755927,4,3,5,4,4,5,4
Boston Marriott Copley Place,review_250582804,,,,,,,4
DoubleTree Club by Hilton Hotel Boston Bayside,review_114015917,5,5,5,5,5,,5
Hyatt Regency Boston Harbor,review_330909995,,,5,4,5,,5
The Verb Hotel,review_370873847,5,,,5,,5,5
"Fairmont Copley Plaza, Boston",review_7753799,3,5,4,4,3,,4
The Verb Hotel,review_350731064,,,,,,,5
Hilton Garden Inn Boston Logan Airport,review_385423703,4,4,4,5,4,5,4
Copley Square Hotel,review_270752170,,,5,5,,5,5
W Boston,review_342214000,,5,,5,5,,5
Embassy Suites by Hilton Boston - at Logan Airport,review_226785575,3,5,,5,,,5
Taj Boston,review_355857219,2,5,,2,,,3
"The Westin Copley Place, Boston",review_198792511,,,,,,,5
The Inn At St Botolph,review_360781842,,,5,5,5,,5
Hilton Boston Back Bay,review_6831309,2,5,4,3,3,,3
Hilton Boston Downtown / Faneuil Hall,review_338968904,,,4,4,,3,4
BEST WESTERN PLUS Roundhouse Suites,review_266618954,4,,,4,,4,4
The Godfrey Hotel Boston,review_358146004,5,5,5,5,5,5,5
Seaport Boston Hotel,review_7755466,3,2,4,5,4,,4
The Inn at Longwood Medical,review_389066563,,5,3,4,,,3
"The Westin Copley Place, Boston",review_318693058,,,,5,5,5,5
"Ames Boston Hotel, Curio Collection by Hilton",review_92120576,,,,,,,5
"The Liberty, A Luxury Collection Hotel",review_417724996,,,,,,,5
The Westin Boston Waterfront,review_165993497,4,4,5,5,5,5,5
Boston Marriott Copley Place,review_402467836,2,4,,3,,,2
The Westin Boston Waterfront,review_433736530,,,,,,,1
The Midtown Hotel,review_18140482,5,5,3,4,3,,4
Omni Parker House,review_393058011,,,,,,,4
Hotel Commonwealth,review_140254478,5,4,5,5,5,5,5
BEST WESTERN PLUS Roundhouse Suites,review_6149286,2,1,5,3,5,,3
"Ames Boston Hotel, Curio Collection by Hilton",review_257717826,,5,,4,4,,4
"Battery Wharf Hotel, Boston Waterfront",review_123109617,4,4,5,5,5,5,5
Loews Boston Hotel,review_361639042,,,,,,,5
Hilton Boston Back Bay,review_263007900,3,4,3,3,3,4,3
Courtyard Boston Copley Square,review_390812173,,5,,5,4,,5
Kimpton Nine Zero Hotel,review_224573326,,5,5,5,,,5
Colonnade Hotel,review_45361953,5,5,5,5,5,,5
Hilton Boston Back Bay,review_382635565,,,,,,,5
InterContinental Boston,review_345672053,3,,4,3,,,4
Newbury Guest House,review_345699968,,,5,5,4,,4
The Westin Boston Waterfront,review_128166965,5,4,5,5,4,3,4
Omni Parker House,review_311370744,,,,,,,3
The Inn At St Botolph,review_29620260,4,5,5,5,5,,5
Omni Parker House,review_278199055,,,,,,,3
Hilton Boston Logan Airport,review_142156143,4,5,4,,5,5,4
The Midtown Hotel,review_141712207,5,5,5,5,5,5,4
"The Westin Copley Place, Boston",review_206641997,5,5,5,5,5,5,5
Boston Marriott Copley Place,review_306444966,,5,,4,,4,4
Hilton Boston Logan Airport,review_388369097,,5,5,5,,,5
The Verb Hotel,review_415738259,,,,,,,5
Omni Parker House,review_297310029,,5,,3,3,,3
Revere Hotel Boston Common,review_147657915,4,5,5,5,5,4,4
Loews Boston Hotel,review_245269439,,4,,3,4,,3
Harborside Inn,review_211397709,5,5,5,5,5,5,5
Taj Boston,review_381779148,5,5,5,5,5,5,5
Hotel Commonwealth,review_378730894,,5,5,5,,,5
Newbury Guest House,review_319320403,,,,,,,4
"The Envoy Hotel, Autograph Collection",review_286879210,4,,,5,5,,5
Kimpton Onyx Hotel,review_193010074,4,5,4,5,4,3,4
Sheraton Boston Hotel,review_415817103,,5,,4,,5,4
Copley Square Hotel,review_119231849,5,5,5,5,5,,5
Chandler Inn,review_251134168,,,,5,,,5
Hampton Inn & Suites Boston Crosstown Center,review_108251116,4,4,5,4,4,5,4
The Midtown Hotel,review_393536549,1,2,1,1,1,1,1
InterContinental Boston,review_383124481,4,5,5,5,5,5,5
Boston Hotel Buckminster,review_6025107,2,3,3,2,3,,2
enVision Hotel Boston - Longwood,review_249571728,5,5,5,5,5,,5
Kimpton Nine Zero Hotel,review_181513595,5,5,5,5,5,5,5
"Mandarin Oriental, Boston",review_156571703,5,5,5,4,5,,5
"Ames Boston Hotel, Curio Collection by Hilton",review_130301832,4,5,5,4,5,4,4
Hilton Boston Back Bay,review_115887512,5,,5,5,,5,5
Lenox Hotel,review_213331043,4,5,4,4,4,4,4
Boston Marriott Copley Place,review_143487280,4,4,5,5,4,5,4
The Boston Common Hotel and Conference Center,review_254932415,,5,3,5,,,3
Residence Inn Boston Back Bay/Fenway,review_247810288,5,4,,5,,,5
Kimpton Nine Zero Hotel,review_135723039,5,5,5,4,4,4,5
Hilton Garden Inn Boston Logan Airport,review_399734818,,4,,3,3,,5
Boston Harbor Hotel,review_415270252,,5,,5,5,,5
Eliot Hotel,review_45480570,3,4,4,3,3,,3
Colonnade Hotel,review_170732595,2,4,4,3,4,3,2
Hilton Boston Logan Airport,review_205879169,5,5,5,5,5,5,5
Boston Hotel Buckminster,review_393939703,,,,,,,1
Hotel Boston,review_346116454,5,5,,5,,,4
Embassy Suites by Hilton Boston - at Logan Airport,review_329371424,,,,,,,4
Milner Hotel,review_80520577,1,3,3,3,1,1,1
Hilton Boston Logan Airport,review_91381507,5,5,3,5,5,5,4
"Ames Boston Hotel, Curio Collection by Hilton",review_413165636,3,,,3,3,,3
Revere Hotel Boston Common,review_134745895,3,5,3,4,4,4,4
Omni Parker House,review_433124353,5,5,5,5,5,5,5
Hilton Boston Back Bay,review_242346169,,,5,5,5,,5
Charlesmark Hotel,review_145855420,4,5,5,5,4,4,5
"The Langham, Boston",review_142815778,,,,,,,5
Lenox Hotel,review_405358507,5,,,5,4,,5
Revere Hotel Boston Common,review_148395097,5,5,5,5,5,5,5
XV Beacon,review_69752273,5,5,5,5,5,5,5
Hyatt Regency Boston,review_266043937,4,5,,5,,,4
Taj Boston,review_160177497,4,5,5,5,5,5,5
Boston Park Plaza,review_383844616,,5,,5,5,,5
Hotel Commonwealth,review_402905736,4,,,4,4,,4
Renaissance Boston Waterfront Hotel,review_167594030,4,5,5,5,4,4,4
W Boston,review_312342651,,,,,,,2
DoubleTree Club by Hilton Hotel Boston Bayside,review_334818148,,,,,,,3
Hotel Boston,review_163015875,4,5,5,5,5,4,5
"The Westin Copley Place, Boston",review_260121036,,5,4,5,,,5
Sheraton Boston Hotel,review_245924993,5,,,5,,5,4
Hyatt Regency Boston,review_152650354,3,5,4,3,3,5,3
Omni Parker House,review_334438880,4,,,4,4,,4
Wyndham Boston Beacon Hill,review_256454751,,,,,,,4
"Ames Boston Hotel, Curio Collection by Hilton",review_130050046,4,4,4,4,4,4,4
Courtyard Boston Copley Square,review_348622159,5,,5,5,,,5
Kimpton Nine Zero Hotel,review_191609620,4,5,4,5,3,4,4
Hotel 140,review_186691423,4,4,4,4,3,4,4
Copley Square Hotel,review_346389782,,5,,4,5,,5
Copley Square Hotel,review_333385897,,,,,,,3
Colonnade Hotel,review_72073585,4,5,5,5,5,5,5
Hotel 140,review_284458728,1,4,,3,,,2
Eliot Hotel,review_238069267,,,,5,4,5,4
Hyatt Regency Boston,review_304849941,5,5,5,5,5,5,5
Embassy Suites by Hilton Boston - at Logan Airport,review_394959833,5,5,5,5,5,5,5
Revere Hotel Boston Common,review_143778227,5,5,5,4,5,5,4
"Marriott Vacation Club Pulse at Custom House, Boston",review_345950437,,,,,,,5
Boston Harbor Hotel,review_140992024,4,5,5,5,5,5,5
"Ames Boston Hotel, Curio Collection by Hilton",review_357240406,,,,,,,5
"Mandarin Oriental, Boston",review_235904293,,5,5,5,,,5
Wyndham Boston Beacon Hill,review_193692863,4,4,4,4,4,4,4
Seaport Boston Hotel,review_334434741,4,5,5,5,5,5,5
InterContinental Boston,review_211067456,5,5,5,5,5,5,5
Revere Hotel Boston Common,review_133204178,4,4,5,5,4,5,4
"Battery Wharf Hotel, Boston Waterfront",review_158789931,4,5,5,5,5,5,5
Taj Boston,review_331077517,,5,,5,4,,4
The Westin Boston Waterfront,review_120302523,5,4,5,5,5,5,5
Omni Parker House,review_361946590,5,5,5,5,4,4,5
Omni Parker House,review_146593286,5,5,5,5,4,,5
Eliot Hotel,review_137098101,1,3,3,3,2,3,2
Boston Harbor Hotel,review_27851451,5,4,5,5,5,,5
InterContinental Boston,review_90927192,4,3,5,5,5,5,5
Hotel 140,review_303676740,,5,,5,,4,4
The Inn at Longwood Medical,review_155082106,5,5,5,5,5,5,5
Copley Square Hotel,review_418513410,,,,,,,4
Harborside Inn,review_364661772,,,,,,,3
Hilton Boston Downtown / Faneuil Hall,review_399281318,,,,,,,5
Comfort Inn - Boston,review_383233611,5,,,5,,5,5
The Midtown Hotel,review_118945514,5,5,5,5,5,5,5
Kimpton Nine Zero Hotel,review_77426587,,,,,,,4
"Fairmont Copley Plaza, Boston",review_159023167,5,5,5,5,4,5,5
The Bostonian Boston,review_178746451,1,4,3,2,2,1,1
The Verb Hotel,review_363335662,,,,,,,5
DoubleTree by Hilton Hotel Boston - Downtown,review_212276357,5,4,,5,5,5,5
Wyndham Boston Beacon Hill,review_284538118,1,4,3,2,2,3,2
W Boston,review_202543182,5,5,5,5,4,4,5
Hyatt Regency Boston,review_3238193,4,,4,4,4,,5
The Godfrey Hotel Boston,review_429960184,4,5,5,5,4,4,4
Hilton Boston Back Bay,review_390289277,5,5,5,5,5,5,5
Residence Inn Boston Harbor on Tudor Wharf,review_200517308,5,5,5,5,5,5,5
Hyatt Regency Boston,review_8085237,5,5,4,4,4,,5
Kimpton Onyx Hotel,review_118998039,5,5,5,5,5,5,5
Kimpton Nine Zero Hotel,review_240216803,,5,5,5,5,5,5
"The Westin Copley Place, Boston",review_47194095,5,5,4,5,5,,5
Hotel Commonwealth,review_131889317,5,5,5,5,5,5,5
DoubleTree by Hilton Hotel Boston - Downtown,review_242520470,,5,,5,,5,5
Residence Inn Boston Back Bay/Fenway,review_203293801,3,3,4,4,4,4,4
Club Quarters Hotel in Boston,review_4136496,2,,3,2,3,,2
Copley Square Hotel,review_94996876,5,5,5,5,5,5,5
Lenox Hotel,review_134219054,1,4,3,5,1,1,2
Kimpton Nine Zero Hotel,review_73770104,5,5,5,5,4,4,5
W Boston,review_323740719,,,,,,,5
Taj Boston,review_127453625,4,4,5,4,4,,4
Hyatt Regency Boston,review_175928105,3,5,5,3,5,5,4
Boston Marriott Long Wharf,review_211419982,4,5,5,5,5,5,5
DoubleTree Club by Hilton Hotel Boston Bayside,review_255665010,5,5,5,4,4,,4
Hotel Commonwealth,review_141788962,,5,5,5,5,5,5
DoubleTree Club by Hilton Hotel Boston Bayside,review_312570028,3,2,3,2,3,3,3
"Battery Wharf Hotel, Boston Waterfront",review_429891218,,,,,,,3
The Westin Boston Waterfront,review_148319806,2,5,5,3,3,4,3
Omni Parker House,review_161935816,4,5,5,5,4,,4
Colonnade Hotel,review_339021884,,5,5,5,,,5
InterContinental Boston,review_207395377,3,5,5,2,5,5,3
Residence Inn Boston Back Bay/Fenway,review_231490573,4,,,5,,4,4
Kimpton Onyx Hotel,review_171794330,3,4,4,1,4,4,2
Residence Inn Boston Downtown/Seaport,review_231347331,,,,,,,5
Omni Parker House,review_175038194,4,5,3,5,3,4,4
"The Westin Copley Place, Boston",review_371315671,,5,5,5,,,5
Revere Hotel Boston Common,review_134031330,,,,,,,5
"Mandarin Oriental, Boston",review_144610519,3,4,5,5,4,5,5
Four Seasons Hotel Boston,review_114712424,,,,4,,,4
Omni Parker House,review_228275005,,5,,5,,5,5
Boston Marriott Copley Place,review_357347832,4,,,5,5,,5
Hampton Inn & Suites Boston Crosstown Center,review_138816948,5,3,5,5,5,5,5
"Battery Wharf Hotel, Boston Waterfront",review_322541281,4,,3,4,,,4
The Midtown Hotel,review_216441651,,,,,,,4
Hilton Boston Back Bay,review_243281117,5,5,5,5,5,5,5
Hilton Boston Back Bay,review_272032268,,,5,5,,5,5
Seaport Boston Hotel,review_277138899,5,5,5,5,5,5,5
Taj Boston,review_317282321,,5,,5,4,,4
Omni Parker House,review_426919050,2,5,5,3,3,3,3
Boston Park Plaza,review_426221950,1,5,3,4,3,3,3
Hotel Commonwealth,review_119663244,5,5,5,5,5,5,5
Eliot Hotel,review_318985834,,,5,5,,5,5
Hyatt Regency Boston Harbor,review_7989656,5,4,5,5,5,,5
Ramada Boston,review_376507141,3,5,,4,,,4
Boston Park Plaza,review_374907135,,5,,5,,4,4
W Boston,review_430108203,5,5,,5,,,5
Chandler Inn,review_415097320,,,,,,,4
"Marriott Vacation Club Pulse at Custom House, Boston",review_162114807,4,5,5,5,4,4,5
InterContinental Boston,review_325808263,,,,,,,5
Hyatt Regency Boston Harbor,review_301712371,5,5,5,5,5,5,5
Boston Marriott Copley Place,review_404725306,,5,,5,5,,5
Lenox Hotel,review_27432653,5,5,5,5,5,,5
BEST WESTERN PLUS Roundhouse Suites,review_34674782,2,1,3,1,3,,1
Taj Boston,review_29252078,5,5,4,5,3,,4
The Inn at Longwood Medical,review_366444333,,,,5,5,5,5
The Boxer Boston,review_361808111,,,,,,,5
BEST WESTERN PLUS Roundhouse Suites,review_105447267,3,4,2,5,2,3,3
The Godfrey Hotel Boston,review_352600295,5,5,5,5,5,5,5
"Battery Wharf Hotel, Boston Waterfront",review_213385594,2,5,4,4,3,5,3
Hilton Boston Downtown / Faneuil Hall,review_229321512,,,,,,,2
Hotel Commonwealth,review_300552988,5,,5,5,,,5
Hotel Commonwealth,review_163976541,4,5,5,5,5,5,5
"The Langham, Boston",review_301039741,3,,3,4,,,3
Hilton Boston Back Bay,review_119084718,4,5,5,5,5,4,5
The Midtown Hotel,review_387264961,5,5,5,5,5,5,5
InterContinental Boston,review_323079987,5,5,,5,,,5
Hotel Commonwealth,review_268334858,4,4,,5,,,5
Hyatt Regency Boston,review_156434928,5,5,5,4,4,4,4
Taj Boston,review_158240960,5,5,5,5,5,5,5
The Westin Boston Waterfront,review_311609384,,,,,,,4
The Westin Boston Waterfront,review_46047632,3,3,3,3,3,,3
Seaport Boston Hotel,review_237804835,,5,,5,,5,5
Revere Hotel Boston Common,review_336458874,,,5,5,,5,3
DoubleTree Club by Hilton Hotel Boston Bayside,review_277752102,2,4,4,1,4,3,2
Renaissance Boston Waterfront Hotel,review_115970005,4,,5,5,,5,4
Hampton Inn & Suites Boston Crosstown Center,review_335151685,3,4,5,5,4,5,5
Courtyard Boston Downtown,review_430869840,,,,,,,5
Hampton Inn & Suites Boston Crosstown Center,review_356232750,5,5,5,5,5,5,5
Seaport Boston Hotel,review_118416541,4,4,5,5,4,5,4
Kimpton Nine Zero Hotel,review_134471958,4,5,5,5,5,5,5
Revere Hotel Boston Common,review_184381670,5,5,5,4,5,5,4
"The Westin Copley Place, Boston",review_124533196,5,5,5,5,5,5,5
Loews Boston Hotel,review_226288745,3,,4,4,,,4
"The Liberty, A Luxury Collection Hotel",review_402921781,,,3,4,3,,3
"The Westin Copley Place, Boston",review_119782181,4,4,4,1,4,,4
InterContinental Boston,review_119680066,3,5,3,4,4,3,4
Omni Parker House,review_309308148,,5,,5,4,,4
Hyatt Regency Boston,review_143607604,5,5,5,5,5,,5
Revere Hotel Boston Common,review_272303017,,,,,,,5
Hampton Inn & Suites Boston Crosstown Center,review_175379626,4,3,5,5,4,5,4
"The Langham, Boston",review_185086467,5,5,5,5,5,5,5
Kimpton Nine Zero Hotel,review_19576232,4,5,5,4,4,,5
Kimpton Onyx Hotel,review_335419221,,3,,5,,3,4
InterContinental Boston,review_163454572,3,4,4,2,4,4,4
Hotel Commonwealth,review_395504479,,,,,,,4
Loews Boston Hotel,review_232746186,,,,5,5,5,5
The Godfrey Hotel Boston,review_357664146,,,5,5,5,,5
Hotel Commonwealth,review_126599507,5,5,5,5,5,,5
The Midtown Hotel,review_422964944,2,4,3,3,2,2,3
enVision Hotel Boston - Longwood,review_257379141,5,,,5,5,,5
Four Seasons Hotel Boston,review_119975693,5,5,5,5,5,5,5
The Inn At St Botolph,review_365640528,,,,,,,5
"Battery Wharf Hotel, Boston Waterfront",review_199113663,3,5,5,1,5,1,4
"Fairmont Copley Plaza, Boston",review_231934911,4,5,5,5,5,5,5
W Boston,review_181938356,4,5,5,5,5,4,4
Chandler Inn,review_210632812,5,5,5,5,5,5,5
Hyatt Regency Boston,review_178262388,1,4,3,1,2,2,2
Hilton Boston Downtown / Faneuil Hall,review_266215440,3,,,4,4,,4
The Westin Boston Waterfront,review_276595612,,,,5,4,4,4
Seaport Boston Hotel,review_324507068,5,,,5,5,,5
Hotel Boston,review_216004993,5,5,5,5,5,4,5
Hotel Commonwealth,review_172248877,5,5,5,5,5,5,5
DoubleTree by Hilton Hotel Boston - Downtown,review_344425580,3,5,5,5,5,4,5
InterContinental Boston,review_177528310,4,5,5,5,4,3,4
Seaport Boston Hotel,review_316624768,,,,,,,4
Omni Parker House,review_185228922,5,5,5,5,5,4,5
"Fairmont Copley Plaza, Boston",review_394936978,4,4,4,4,5,5,4
Omni Parker House,review_392819885,,,,,,,5
Hilton Boston Back Bay,review_383798590,4,,5,5,,,5
Four Seasons Hotel Boston,review_327406613,4,,,5,,4,5
The Westin Boston Waterfront,review_184954484,3,5,3,4,3,3,3
W Boston,review_317986017,,,,,,,5
Loews Boston Hotel,review_199700971,4,5,5,5,5,4,5
Residence Inn Boston Back Bay/Fenway,review_198696103,3,5,5,5,5,5,5
The Bostonian Boston,review_148528025,4,5,4,5,4,5,4
Sheraton Boston Hotel,review_321037118,,5,,4,,5,4
Wyndham Boston Beacon Hill,review_397887341,,5,,4,,5,4
Omni Parker House,review_173423106,,,,,,,5
Residence Inn Boston Back Bay/Fenway,review_286010297,5,5,5,5,5,5,5
Omni Parker House,review_199078507,4,5,4,5,4,4,5
"Fairmont Copley Plaza, Boston",review_148625708,4,5,5,5,5,,5
Omni Parker House,review_27698049,4,4,4,4,4,,4
Kimpton Nine Zero Hotel,review_146255202,,,,,,,4
"Marriott Vacation Club Pulse at Custom House, Boston",review_221462244,4,,,5,5,,5
Colonnade Hotel,review_308590880,,,,,,,4
The Westin Boston Waterfront,review_316596630,,4,5,4,,,4
Omni Parker House,review_318191960,4,5,5,5,5,4,5
Comfort Inn - Boston,review_412209930,,,,4,4,,4
Holiday Inn Express Boston,review_119919075,5,4,5,5,4,4,5
Kimpton Nine Zero Hotel,review_306890263,,,,,,,5
Newbury Guest House,review_200584341,4,5,5,4,5,4,4
Boston Marriott Long Wharf,review_176121041,3,5,3,4,4,3,4
Harborside Inn,review_119380168,4,4,5,4,5,4,4
Residence Inn Boston Harbor on Tudor Wharf,review_298084866,4,,5,5,,,4
W Boston,review_367137526,4,,,5,,5,5
Wyndham Boston Beacon Hill,review_396425300,,,,,,,4
Embassy Suites by Hilton Boston - at Logan Airport,review_186112108,5,4,3,5,3,3,4
XV Beacon,review_313131891,,5,,4,4,,4
Hotel 140,review_128332689,5,5,5,5,4,5,5
Revere Hotel Boston Common,review_147706305,5,5,5,5,5,5,5
